OrderID,CustomerID,FirstName,LastName,State,City,OrderDate,OrderSeason,OrderDayOfWeek,ProductCategory,ProductSubCategory,UnitPrice,Quantity,TotalAmount,DiscountPercent,DiscountAmount,FinalAmount,PaymentMethod,DeviceType,MembershipTier,ShippingDays,Returned,ReviewScore
ORD-010001,CUST-05677,Kimberly,Davis,MT,Fairview,5/22/2022,Spring,Sunday,Automotive,Tools,45.21,1,45.21,0,0.0,45.21,Gift Card,Tablet,Gold,3,No,5
ORD-010002,CUST-07683,Linda,Garcia,AZ,Georgetown,10/17/2024,Fall,Thursday,Grocery,Bakery,48.44,1,48.44,0,0.0,48.44,Apple Pay,Mobile,Bronze,5,No,5
ORD-010003,CUST-05017,Steven,Baker,VA,Clinton,6/8/2024,Summer,Saturday,Automotive,Electronics,33.94,1,33.94,0,0.0,33.94,Debit Card,Tablet,Bronze,4,No,4
ORD-010004,CUST-04913,Laura,Thomas,MO,Salem,10/24/2024,Fall,Thursday,Sports & Outdoors,Fitness Equipment,272.61,1,272.61,0,0.0,272.61,Buy Now Pay Later,Mobile,Gold,5,No,5
ORD-010005,CUST-04532,Thomas,Turner,AZ,Springfield,7/22/2023,Summer,Saturday,Electronics,Tablets,1028.51,1,1028.51,0,0.0,1028.51,PayPal,Desktop,Bronze,2,No,4
ORD-010006,CUST-01801,Emily,Brown,OK,Greenville,7/24/2023,Summer,Monday,Grocery,Beverages,36.75,1,36.75,0,0.0,36.75,PayPal,Mobile,Silver,3,No,4
ORD-010007,CUST-01046,Anthony,Phillips,WI,Georgetown,12/28/2024,Winter,Saturday,Sports & Outdoors,Team Sports,71.08,1,71.08,0,0.0,71.08,Apple Pay,Tablet,Gold,3,No,4
ORD-010008,CUST-07323,Michelle,Young,MN,Clinton,10/18/2022,Fall,Tuesday,Health & Wellness,Fitness Accessories,95.8,2,191.6,0,0.0,191.6,Apple Pay,Tablet,Silver,7,No,4
ORD-010009,CUST-08995,William,Davis,KS,Springfield,6/1/2024,Summer,Saturday,Automotive,Tools,113.49,1,113.49,15,17.02,96.47,Credit Card,Mobile,Silver,3,No,5
ORD-010010,CUST-05011,Sharon,Turner,MA,Salem,8/17/2023,Summer,Thursday,Books,Self-Help,23.14,1,23.14,0,0.0,23.14,Credit Card,Mobile,Gold,3,No,3
ORD-010011,CUST-05322,Brian,Carter,WA,Tacoma,11/29/2022,Fall,Tuesday,Sports & Outdoors,Camping Gear,475.28,1,475.28,15,71.29,403.99,PayPal,Desktop,Platinum,5,No,3
ORD-010012,CUST-06447,Donald,Sanchez,WY,Fairview,4/8/2023,Spring,Saturday,Clothing,Tops,121.65,1,121.65,0,0.0,121.65,PayPal,Mobile,Platinum,5,No,4
